Points_Redeemed,Dollar_Cost_Points_Redeemed
438,79
685,123
464,84
581,105
828,149
832,150
365,66
644,116
468,84
353,64
555,100
579,104
770,139
325,59
720,130
454,82
509,92
397,71
523,94
608,109
551,99
551,99
742,134
481,87
499,90
386,69
570,103
493,89
310,56
364,66
458,82
667,120
632,114
489,88
358,64
387,70
547,98
444,80
450,81
315,57
450,81
600,108
371,67
312,56
680,122
436,78
784,141
565,102
622,112
488,88
612,110
483,87
558,100
628,113
484,87
531,96
740,133
625,113
796,143
421,76
654,118
787,142
457,82
503,91
817,147
639,115
473,85
565,102
329,59
388,70
580,104
509,92
487,88
660,119
556,100
563,101
535,96
564,102
545,98
507,91
549,99
413,74
392,71
476,86
460,83
415,75
423,76
484,87
457,82
463,83
423,76
612,110
430,77
531,96
475,86
421,76
655,118
427,77
794,143
505,91
449,81
370,67
415,75
549,99
339,61
635,114
565,102
379,68
415,75
521,94
404,73
580,104
544,98
747,134
482,87
638,115
612,110
437,79
324,58
422,76
561,101
595,107
525,95
607,109
553,100
717,129
400,72
449,81
449,81
475,86
565,102
756,136
536,96
381,69
386,69
683,123
439,79
526,95
646,116
345,62
456,82
485,87
594,107
510,92
467,84
387,70
718,129
474,85
477,86
449,81
520,94
525,95
529,95
693,125
353,64
560,101
433,78
452,81
374,67
380,68
832,150
571,103
377,68
505,91
412,74
569,102
337,61
333,60
536,96
393,71
581,105
675,122
434,78
502,90
389,70
567,102
367,66
588,106
524,94
800,144
343,62
431,78
378,68
485,87
365,66
589,106
533,96
360,65
377,68
433,78
596,107
477,86
383,69
318,57
563,101
546,98
511,92
413,74
683,123
481,87
683,123
467,84
506,91
612,110
488,88
558,100
487,88
493,89
512,92
580,104
483,87
637,115
580,104
492,89
398,72
370,67
364,66
505,91
640,115
598,108
648,117
497,89
543,98
509,92
419,75
861,155
598,108
465,84
785,141
463,83
765,138
531,96
752,135
401,72
381,69
362,65
596,107
570,103
727,131
430,77
704,127
470,85
563,101
645,116
521,94
798,144
339,61
468,84
599,108
579,104
454,82
757,136
329,59
466,84
586,105
581,105
586,105
579,104
469,84
399,72
400,72
427,77
403,73
561,101
576,104
583,105
576,104
670,121
722,130
543,98
540,97
400,72
833,150
453,82
650,117
562,101
597,107
401,72
617,111
409,74
692,125
312,56
525,95
430,77
513,92
415,75
672,121
300,54
500,90
375,68
627,113
497,89
511,92
442,80
325,59
497,89
322,58
609,110
728,131
406,73
606,109
646,116
532,96
495,89
497,89
639,115
526,95
300,54
537,97
445,80
365,66
544,98
479,86
506,91
736,132
618,111
572,103
520,94
364,66
423,76
531,96
351,63
669,120
643,116
584,105
449,81
672,121
637,115
331,60
443,80
441,79
416,75
701,126
426,77
548,99
574,103
562,101
533,96
423,76
521,94
499,90
579,104
575,104
421,76
541,97
726,131
486,87
569,102
658,118
531,96
688,124
501,90
656,118
508,91
323,58
616,111
645,116
582,105
612,110
411,74
375,68
353,64
382,69
362,65
655,118
339,61
460,83
486,87
516,93
471,85
499,90
344,62
500,90
805,145
367,66
513,92
391,70
510,92
503,91
402,72
484,87
706,127
391,70
539,97
731,132
367,66
516,93
639,115
556,100
364,66
648,117
681,123
473,85
815,147
651,117
581,105
443,80
445,80
753,136
436,78
331,60
542,98
428,77
391,70
575,104
659,119
395,71
438,79
502,90
379,68
429,77
798,144
408,73
401,72
320,58
503,91
463,83
640,115
470,85
470,85
554,100
515,93
494,89
561,101
445,80
476,86
782,141
717,129
492,89
423,76
523,94
328,59
513,92
748,135
523,94
508,91
535,96
545,98
520,94
554,100
375,68
325,59
334,60
519,93
425,77
410,74
446,80
613,110
570,103
462,83
507,91
350,63
409,74
703,127
393,71
664,120
388,70
398,72
785,141
475,86
434,78
726,131
760,137
323,58
374,67
505,91
527,95
671,121
491,88
552,99
600,108
426,77
585,105
574,103
452,81
589,106
618,111
535,96
747,134
713,128
444,80
543,98
398,72
445,80
382,69
405,73
404,73
522,94
719,129
704,127
403,73
463,83
499,90
574,103
669,120
381,69
336,60
527,95
559,101
418,75
800,144
657,118
514,93
471,85
515,93
526,95
391,70
701,126
413,74
605,109
414,75
625,113
702,126
475,86
577,104
615,111
474,85
413,74
323,58
492,89
564,102
485,87
367,66
531,96
407,73
474,85
382,69
690,124
532,96
328,59
356,64
471,85
423,76
544,98
377,68
321,58
686,123
517,93
409,74
451,81
301,54
510,92
464,84
353,64
411,74
529,95
433,78
503,91
447,80
596,107
500,90
615,111
702,126
589,106
389,70
353,64
582,105
616,111
336,60
844,152
580,104
541,97
527,95
469,84
571,103
522,94
499,90
563,101
447,80
602,108
455,82
412,74
524,94
339,61
593,107
505,91
468,84
377,68
540,97
402,72
448,81
691,124
543,98
543,98
411,74
489,88
839,151
836,150
433,78
464,84
331,60
420,76
567,102
461,83
464,84
472,85
380,68
353,64
568,102
481,87
340,61
501,90
520,94
517,93
364,66
535,96
679,122
530,95
454,82
382,69
526,95
354,64
416,75
309,56
531,96
467,84
611,110
344,62
409,74
311,56
581,105
578,104
483,87
398,72
546,98
589,106
352,63
367,66
473,85
393,71
469,84
440,79
673,121
682,123
501,90
495,89
597,107
513,92
798,144
436,78
457,82
579,104
670,121
575,104
449,81
575,104
793,143
547,98
489,88
503,91
419,75
501,90
355,64
503,91
588,106
572,103
531,96
521,94
485,87
378,68
444,80
406,73
452,81
297,53
692,125
377,68
392,71
588,106
374,67
737,133
441,79
360,65
614,111
541,97
513,92
414,75
399,72
585,105
744,134
534,96
404,73
630,113
519,93
588,106
619,111
419,75
792,143
466,84
342,62
771,139
462,83
343,62
672,121
554,100
432,78
538,97
416,75
495,89
477,86
758,136
593,107
386,69
831,150
516,93
404,73
308,55
738,133
370,67
382,69
773,139
363,65
403,73
326,59
827,149
601,108
443,80
362,65
534,96
766,138
376,68
362,65
520,94
418,75
453,82
471,85
783,141
469,84
413,74
504,91
456,82
663,119
668,120
405,73
657,118
615,111
385,69
787,142
330,59
486,87
689,124
367,66
462,83
594,107
400,72
568,102
570,103
434,78
480,86
489,88
457,82
747,134
606,109
659,119
622,112
486,87
504,91
366,66
553,100
637,115
569,102
563,101
828,149
629,113
345,62
521,94
477,86
532,96
444,80
639,115
389,70
438,79
456,82
438,79
584,105
477,86
402,72
503,91
664,120
603,109
522,94
317,57
682,123
523,94
434,78
459,83
363,65
597,107
510,92
343,62
785,141
695,125
678,122
568,102
468,84
653,118
689,124
405,73
386,69
580,104
554,100
390,70
473,85
381,69
769,138
355,64
419,75
623,112
617,111
407,73
430,77
697,125
749,135
621,112
574,103
434,78
358,64
574,103
540,97
528,95
455,82
498,90
383,69
344,62
299,54
448,81
465,84
336,60
634,114
411,74
379,68
875,158
443,80
565,102
787,142
426,77
347,62
452,81
756,136
476,86
615,111
450,81
502,90
455,82
503,91
476,86
740,133
686,123
355,64
365,66
520,94
550,99
595,107
464,84
327,59
392,71
626,113
607,109
701,126
797,143
598,108
625,113
391,70
593,107
562,101
554,100
497,89
300,54
367,66
606,109
440,79
496,89
429,77
418,75
413,74
517,93
475,86
599,108
705,127
339,61
387,70
407,73
500,90
390,70
559,101
739,133
337,61
586,105
368,66
397,71
420,76
571,103
533,96
416,75
557,100
516,93
656,118
356,64
341,61
566,102
436,78
584,105
544,98
700,126
481,87
582,105
340,61
593,107
370,67
410,74
409,74
826,149
737,133
578,104
604,109
653,118
438,79
637,115
842,152
458,82
490,88
462,83
603,109
432,78
678,122
355,64
472,85
440,79
461,83
534,96
758,136
379,68
531,96
476,86
565,102
736,132
582,105
683,123
516,93
465,84
394,71
534,96
458,82
356,64
614,111
446,80
604,109
531,96
792,143
515,93
554,100
628,113
374,67
506,91
408,73
388,70
504,91
414,75
324,58
592,107
561,101
569,102
432,78
556,100
562,101
429,77
412,74
619,111
439,79
353,64
351,63
839,151
537,97
466,84
723,130
639,115
553,100
466,84
542,98
440,79
554,100
322,58
365,66
582,105
362,65
556,100
667,120
523,94
403,73
602,108
445,80
449,81
677,122
548,99
443,80
553,100
699,126
686,123
523,94
737,133
645,116
390,70
852,153
720,130
723,130
465,84
588,106
403,73
605,109
328,59
481,87
739,133
485,87
530,95
330,59
707,127
432,78
393,71
547,98
376,68
481,87
625,113
336,60
516,93
424,76
650,117
567,102
515,93
581,105
423,76
521,94
432,78
457,82
528,95
471,85
512,92
714,129
544,98
377,68
367,66
473,85
719,129
600,108
457,82
340,61
372,67
641,115
728,131
369,66
466,84
491,88
489,88
547,98
670,121
421,76
628,113
313,56
412,74
345,62
591,106
557,100
528,95
325,59
565,102
514,93
474,85
444,80
510,92
681,123
648,117
385,69
542,98
396,71
470,85
460,83
517,93
311,56
580,104
590,106
470,85
474,85
503,91
420,76
762,137
356,64
506,91
396,71
618,111
719,129
488,88
439,79
459,83
444,80
560,101
430,77
525,95
464,84
505,91
446,80
388,70
518,93
475,86
491,88
438,79
564,102
466,84
485,87
669,120
424,76
487,88
407,73
401,72
694,125
553,100
365,66
425,77
661,119
409,74
461,83
740,133
480,86
418,75
292,53
313,56
519,93
593,107
362,65
413,74
477,86
344,62
535,96
618,111
438,79
645,116
424,76
396,71
385,69
509,92
457,82
531,96
487,88
365,66
766,138
533,96
363,65
696,125
536,96
585,105
423,76
492,89
512,92
779,140
549,99
418,75
370,67
456,82
418,75
417,75
443,80
439,79
485,87
645,116
435,78
561,101
606,109
450,81
452,81
472,85
664,120
337,61
676,122
387,70
807,145
587,106
372,67
491,88
539,97
598,108
496,89
374,67
561,101
809,146
438,79
447,80
394,71
715,129
656,118
514,93
572,103
504,91
394,71
422,76
571,103
624,112
810,146
346,62
616,111
808,145
452,81
497,89
358,64
325,59
794,143
660,119
576,104
473,85
771,139
468,84
482,87
362,65
631,114
388,70
455,82
362,65
566,102
680,122
474,85
422,76
494,89
617,111
781,141
517,93
387,70
584,105
479,86
625,113
374,67
406,73
665,120
383,69
757,136
726,131
352,63
580,104
769,138
486,87
533,96
495,89
460,83
419,75
598,108
467,84
564,102
308,55
527,95
632,114
618,111
700,126
870,157
690,124
393,71
