Salary,Distance
92552.0,601
92552.0,9648
92552.0,3687
92552.0,8932
73262.0,7675
73262.0,6684
73262.0,3512
73262.0,572
73262.0,3195
63253.0,3378
63253.0,4026
63253.0,6032
91163.0,3955
91163.0,1872
70323.0,7128
70323.0,1191
76849.0,1648
76849.0,1533
69695.0,1794
69695.0,5733
69695.0,1933
69695.0,7928
63478.0,1359
63478.0,5184
63478.0,7408
54133.0,990
54133.0,11360
96269.0,7932
96269.0,9760
96269.0,11710
51667.0,3802
51667.0,3144
51667.0,1427
51667.0,3320
94440.0,4638
94440.0,1315
94440.0,4220
101933.0,2006
101933.0,564
128118.0,7362
128118.0,2013
128118.0,3252
128118.0,4632
73262.0,1734
73262.0,11740
97497.0,6174
97497.0,2432
73262.0,2193
73262.0,4734
73262.0,2462
73262.0,4692
73262.0,2132
56523.0,2189
56523.0,2061
56523.0,4251
45229.0,6978
45229.0,1068
45229.0,2890
91817.0,2734
91817.0,3534
91817.0,6340
69020.0,2000
56531.0,2462
56531.0,2744
87781.0,2085
87781.0,1477
87781.0,7014
239867.0,1042
239867.0,1272
239867.0,4384
94946.0,5845
94946.0,2512
87654.0,1835
66733.0,6513
66733.0,3402
81883.0,2282
73262.0,3825
73262.0,1574
73262.0,2013
73262.0,3826
73262.0,4602
86098.0,6768
75265.0,1968
75265.0,1860
75265.0,1906
75265.0,4437
76887.0,13704
76887.0,884
76887.0,12677
86413.0,6780
73262.0,6220
73262.0,1958
73262.0,1710
76485.0,3330
76485.0,2472
76485.0,4678
76485.0,3561
84147.0,5632
84147.0,1014
80919.0,1662
80919.0,6640
60216.0,4830
60216.0,4336
60216.0,1478
60216.0,2491
60216.0,5476
73262.0,2304
73262.0,11952
84442.0,3680
84442.0,2510
97920.0,5571
97920.0,6978
64962.0,2876
64962.0,3612
64962.0,2088
73262.0,9904
67227.0,1635
67227.0,2305
73262.0,5356
73262.0,7784
73262.0,4482
73262.0,1367
73262.0,2199
73262.0,7074
73262.0,5220
67445.0,2053
67445.0,5511
67445.0,1676
65543.0,5826
65543.0,5835
66226.0,838
66226.0,5349
66226.0,5235
86388.0,3152
86388.0,5589
90487.0,3422
103461.0,2136
52820.0,5315
52820.0,3578
75348.0,1916
75348.0,4710
75348.0,808
299560.0,6744
299560.0,3480
299560.0,2008
60894.0,7228
60894.0,12462
52405.0,7170
52405.0,3846
52405.0,1196
221857.0,679
71775.0,3480
71775.0,4539
73262.0,3330
73262.0,3290
73262.0,930
104140.0,4797
104140.0,4878
243591.0,5780
243591.0,4406
64827.0,1148
86609.0,704
86609.0,1221
60006.0,547
50930.0,1286
63326.0,4686
63326.0,1652
90265.0,6245
90265.0,2534
90265.0,2061
236405.0,6303
236405.0,18696
73262.0,6723
79727.0,1284
79727.0,4332
79727.0,3036
88863.0,3856
88863.0,879
88863.0,9396
88863.0,4524
88863.0,1853
53065.0,9600
73262.0,10805
73262.0,4554
73262.0,1732
73262.0,6775
73262.0,1400
41085.0,2492
55130.0,33312
55130.0,9354
77255.0,1928
77255.0,4200
62977.0,3450
75700.0,3720
75700.0,7089
75700.0,520
39000.0,1051
39000.0,3882
39000.0,2460
39000.0,896
39000.0,540
39000.0,2104
39000.0,3024
39000.0,1260
94980.0,6368
94980.0,1002
47889.0,1614
16628.0,1490
111106.0,2745
111106.0,4228
111106.0,2541
73262.0,9732
73262.0,1418
73262.0,510
73262.0,1596
73262.0,655
73262.0,6900
54529.0,2886
298661.0,5106
298661.0,8620
298661.0,5055
298661.0,9645
86121.0,1665
86121.0,3204
86121.0,2768
61554.0,2541
61554.0,6028
49158.0,1563
49158.0,3480
73262.0,1668
73262.0,6186
58674.0,2998
63081.0,565
67299.0,1686
67299.0,7137
67299.0,6084
55446.0,3882
55446.0,2289
81959.0,2314
86727.0,989
62780.0,808
100598.0,2906
100598.0,1738
100598.0,946
92398.0,11028
92398.0,5646
92398.0,5865
92398.0,1263
73262.0,6165
94014.0,501
240146.0,3572
240146.0,1630
87890.0,3422
64290.0,635
64290.0,3441
64290.0,7299
73262.0,7080
66901.0,2011
66901.0,742
66901.0,6675
105487.0,927
105487.0,4876
71792.0,25280
71792.0,14118
73262.0,2970
73262.0,2133
94733.0,5133
73262.0,4564
73262.0,1314
73262.0,7584
52961.0,2640
52961.0,2460
52961.0,7844
103122.0,2895
103122.0,1064
52414.0,2418
52414.0,7008
60970.0,8564
53738.0,7122
47966.0,2342
49927.0,2097
49927.0,2341
49927.0,7824
49927.0,1372
100884.0,4788
100884.0,2106
64014.0,4836
64014.0,3212
53081.0,5418
53081.0,627
81729.0,8945
81729.0,2908
98771.0,2588
73262.0,2992
73262.0,6108
57960.0,1432
57960.0,4240
81333.0,3648
69098.0,10500
69098.0,2358
69098.0,9648
73262.0,1374
84346.0,4772
84346.0,1733
81364.0,2112
73262.0,5382
73262.0,6264
58026.0,4926
89062.0,2459
89062.0,2030
73262.0,2223
73262.0,10290
73262.0,8225
57975.0,2337
89320.0,1900
81771.0,786
82365.0,22680
82365.0,10976
82365.0,11064
73262.0,6129
73262.0,7312
73262.0,1398
73262.0,1034
81901.0,3162
81901.0,9865
73262.0,1373
73262.0,1602
86244.0,2210
86244.0,1280
86244.0,703
50879.0,1604
50879.0,1402
73262.0,1722
73262.0,2365
73262.0,9580
72625.0,4413
72625.0,1840
73262.0,1795
73262.0,5337
73262.0,609
73262.0,1027
118863.0,2862
73262.0,4148
73262.0,1011
73262.0,2595
70272.0,1946
70272.0,4412
70272.0,2182
50748.0,7920
90349.0,9748
90349.0,4960
90349.0,2012
90349.0,3528
90349.0,911
58405.0,2333
85487.0,4756
85487.0,3804
53537.0,2313
53537.0,3256
53537.0,2784
77443.0,7122
77443.0,7428
185468.0,6972
185468.0,4268
185468.0,748
93073.0,2568
93073.0,2033
74413.0,4642
74413.0,4362
74413.0,10415
74413.0,2590
73262.0,9052
73262.0,5499
73262.0,3482
73262.0,7448
73262.0,959
67412.0,10695
73262.0,11520
73262.0,3876
73262.0,4956
46795.0,1460
46795.0,13974
46795.0,4323
78218.0,7156
78218.0,7545
65935.0,2388
65935.0,4182
104262.0,3232
86215.0,2268
86215.0,2230
86215.0,14400
86215.0,2638
86215.0,2000
60156.0,11150
60156.0,3678
57311.0,6813
66334.0,1158
66334.0,1490
66334.0,576
66334.0,2799
66334.0,5476
66334.0,4928
66116.0,2727
66116.0,1910
73262.0,1980
73262.0,2433
73262.0,4810
63616.0,579
63616.0,4126
63616.0,2632
233002.0,1668
233002.0,3190
233002.0,11400
233002.0,688
233002.0,584
233002.0,2226
47701.0,2870
47701.0,4872
47701.0,3292
73262.0,2626
73262.0,1779
73262.0,2572
73262.0,2256
73262.0,2792
73262.0,1374
73262.0,14682
63343.0,2964
63343.0,2271
63343.0,2792
61482.0,659
61482.0,1893
78649.0,554
78649.0,2141
88044.0,8400
80516.0,3388
72888.0,2113
72888.0,609
68653.0,3980
68653.0,4314
68653.0,2973
68653.0,7940
68653.0,4944
104829.0,3692
73262.0,3824
73262.0,2616
73262.0,4446
73262.0,2409
73262.0,7016
47036.0,3075
47987.0,518
47987.0,4378
47987.0,920
73262.0,3789
73262.0,6855
73262.0,2691
73262.0,3528
73262.0,3890
134476.0,2556
134476.0,3450
59753.0,2073
59753.0,3468
59753.0,1713
101354.0,2149
101354.0,1450
101354.0,3384
57148.0,4605
57148.0,510
58414.0,1533
58414.0,2014
73262.0,2203
221857.0,4908
221857.0,7520
221857.0,4388
221857.0,5145
221857.0,3678
221857.0,3048
221857.0,4272
73262.0,7576
50797.0,6072
95967.0,3174
-10605.0,49320
101038.0,8830
101038.0,4899
101038.0,5553
80218.0,927
71498.0,1223
71498.0,833
54096.0,5720
54096.0,7408
54096.0,542
56700.0,2012
56700.0,4882
56700.0,743
56700.0,3576
56700.0,3210
73262.0,728
101599.0,8224
50072.0,4386
50072.0,2538
62706.0,3444
62706.0,11766
62706.0,2168
95638.0,902
95638.0,7524
95638.0,2788
65838.0,1596
72583.0,7940
92144.0,1728
92144.0,2244
92144.0,1039
92144.0,5472
299899.0,8896
87262.0,2820
87262.0,1732
55066.0,6252
55066.0,4305
55066.0,5289
55144.0,7152
55144.0,1326
55144.0,5644
69803.0,9132
52528.0,1452
96798.0,3880
96798.0,7430
96798.0,3411
47178.0,679
47178.0,5260
73262.0,7368
73262.0,7548
73262.0,2220
73262.0,2424
73262.0,3558
53563.0,1379
53563.0,4752
53563.0,15448
53563.0,14300
53563.0,7344
67024.0,2050
97704.0,4984
97704.0,11840
97704.0,2239
59917.0,2084
59917.0,6060
59917.0,3420
59917.0,2443
59917.0,1268
75996.0,23928
81063.0,2336
81063.0,1988
81063.0,535
73262.0,1984
98844.0,1992
98844.0,11290
98844.0,4340
78268.0,7089
78268.0,8396
78268.0,5727
78268.0,890
48896.0,8766
48896.0,7854
48896.0,6615
48896.0,3120
48896.0,4778
198691.0,3972
91239.0,1137
73262.0,3790
51923.0,3376
50847.0,17100
61008.0,9670
73262.0,1448
62006.0,4168
62006.0,882
62006.0,10000
73262.0,6080
73262.0,4394
73262.0,5913
73262.0,5748
53925.0,8264
53925.0,3018
53925.0,4350
56130.0,1256
73262.0,9644
74544.0,6068
74544.0,3510
67862.0,5240
67862.0,5982
67862.0,1694
69835.0,5160
297762.0,627
297762.0,4218
297762.0,2768
297762.0,1534
73262.0,2456
73262.0,5898
73262.0,2040
73262.0,6172
81276.0,6174
53166.0,1089
53166.0,2016
114838.0,11694
73262.0,14380
66055.0,1034
66055.0,10065
73262.0,7305
73262.0,615
65690.0,3352
65690.0,3885
65690.0,806
50013.0,3354
56411.0,2407
56411.0,11005
58623.0,2532
73262.0,4242
65324.0,2480
80919.0,7016
80919.0,4268
97949.0,3048
97949.0,2278
73262.0,2369
73262.0,9770
73262.0,3093
73262.0,1928
62537.0,3855
62537.0,2275
73262.0,1564
73455.0,7179
73455.0,2493
74123.0,934
74123.0,6332
74123.0,2281
69278.0,4620
69278.0,1099
76456.0,3291
76456.0,9096
53016.0,2311
53016.0,3234
95061.0,3690
63228.0,1644
65986.0,10734
65986.0,5346
65986.0,6212
65986.0,6516
56193.0,3428
85447.0,4495
84551.0,4620
83189.0,3284
113785.0,2168
58612.0,3672
299560.0,1362
56759.0,10510
56759.0,4128
56759.0,2076
101393.0,8228
67059.0,2040
67059.0,2502
73218.0,2796
73218.0,10425
73218.0,2210
74727.0,6116
89345.0,2278
102601.0,2497
102601.0,6879
102601.0,6256
102601.0,4418
49927.0,4118
73262.0,6984
73262.0,3568
97537.0,2084
97537.0,10505
62063.0,1864
78434.0,4293
78434.0,1116
64760.0,3055
64760.0,5652
101984.0,9492
49512.0,4778
49512.0,5928
49512.0,3144
49512.0,3774
58178.0,4936
58178.0,15463
58178.0,1035
92223.0,7588
78830.0,5487
78830.0,1112
78830.0,1190
73262.0,2245
73262.0,2610
85880.0,4983
85880.0,6036
85880.0,1890
100776.0,3327
100776.0,882
100776.0,2102
100776.0,1617
100776.0,9624
70946.0,1150
65997.0,1456
65997.0,3090
65997.0,7002
65997.0,2610
65997.0,1884
68785.0,4989
68785.0,3330
74522.0,2340
74522.0,750
229165.0,1072
229165.0,3728
229165.0,9895
73262.0,3605
73262.0,5260
64588.0,2865
64588.0,4437
51591.0,7080
51591.0,4128
85235.0,1749
85235.0,540
85235.0,944
73262.0,5175
73262.0,2474
63970.0,15897
63970.0,917
63970.0,2105
64417.0,2368
64417.0,4866
64417.0,2268
64417.0,3818
64854.0,1815
73262.0,2344
73262.0,8952
73262.0,2094
74870.0,6340
74870.0,5745
92999.0,8950
70254.0,1233
70254.0,5217
70254.0,5100
64046.0,5412
64046.0,1148
88198.0,7062
47021.0,6300
47021.0,2064
47021.0,4960
47021.0,7480
73602.0,5505
73602.0,1731
73602.0,3020
73602.0,2386
73602.0,4563
51476.0,7065
51476.0,2312
51476.0,5157
51476.0,2262
51476.0,4293
51476.0,1367
73262.0,2192
73262.0,1704
73262.0,5013
73262.0,1597
73262.0,1592
73262.0,6825
77542.0,9120
77542.0,774
77542.0,3954
73262.0,2307
73262.0,2108
73262.0,3212
99537.0,6645
80289.0,973
91817.0,2331
91817.0,2505
91817.0,1276
73262.0,1113
73262.0,3126
64046.0,10050
64046.0,2814
73262.0,3212
73262.0,7640
73262.0,7326
73262.0,3735
74090.0,4070
74090.0,4696
73262.0,9164
73262.0,1687
76396.0,3892
76396.0,678
73262.0,828
73262.0,4864
73262.0,1650
73262.0,2209
73262.0,2326
73262.0,3201
48636.0,5991
51775.0,5380
51775.0,7085
51775.0,4452
