,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
0,100590,2018,6,12,15276,22914.0,0,0
1,100590,2018,7,12,9168,13752.0,0,0
2,100590,2018,5,4,6504,9756.0,0,0
3,100590,2018,10,0,0,0.0,512,92
4,100590,2018,2,0,0,0.0,0,0
5,100590,2018,4,0,0,0.0,0,0
6,100590,2018,3,0,0,0.0,0,0
7,100590,2018,8,0,0,0.0,0,0
8,100590,2018,9,0,0,0.0,0,0
9,100590,2018,11,0,0,0.0,0,0
10,100590,2018,12,0,0,0.0,0,0
11,102376,2018,6,24,21216,31824.0,0,0
12,102376,2018,12,15,16500,24750.0,556,100
13,102376,2018,7,12,25080,37620.0,0,0
14,102376,2018,8,12,6360,9540.0,0,0
15,102376,2018,9,6,7452,11178.0,0,0
16,102376,2018,5,4,2972,4458.0,0,0
17,102376,2018,2,0,0,0.0,0,0
18,102376,2018,3,0,0,0.0,0,0
19,102376,2018,4,0,0,0.0,0,0
20,102376,2018,10,0,0,0.0,0,0
21,102376,2018,11,0,0,0.0,0,0
22,102788,2018,7,20,24640,36960.0,0,0
23,102788,2018,5,16,27648,41472.0,0,0
24,102788,2018,8,16,28992,43488.0,0,0
25,102788,2018,12,15,28125,,0,0
26,102788,2018,9,6,8634,12951.0,0,0
27,102788,2018,3,5,9230,13845.0,0,0
28,102788,2018,10,4,5096,7644.0,0,0
29,102788,2018,11,2,3292,4938.0,0,0
30,102788,2018,2,0,0,0.0,0,0
31,102788,2018,4,0,0,0.0,0,0
32,102788,2018,6,0,0,0.0,0,0
33,104267,2018,5,16,32768,49152.0,0,0
34,104267,2018,12,9,14697,,0,0
35,104267,2018,6,8,6648,9972.0,0,0
36,104267,2018,4,3,3153,,0,0
37,104267,2018,11,2,4340,6510.0,0,0
38,104267,2018,2,0,0,0.0,0,0
39,104267,2018,3,0,0,0.0,0,0
40,104267,2018,7,0,0,0.0,0,0
41,104267,2018,8,0,0,0.0,0,0
42,104267,2018,9,0,0,0.0,0,0
43,104267,2018,10,0,0,0.0,0,0
44,105063,2018,6,12,18696,28044.0,0,0
45,105063,2018,11,8,11376,17064.0,0,0
46,105063,2018,5,4,4320,6480.0,0,0
47,105063,2018,4,3,6303,,0,0
48,105063,2018,2,0,0,0.0,0,0
49,105063,2018,3,0,0,0.0,0,0
50,105063,2018,7,0,0,0.0,0,0
51,105063,2018,8,0,0,0.0,0,0
52,105063,2018,9,0,0,0.0,0,0
53,105063,2018,10,0,0,0.0,0,0
54,105063,2018,12,0,0,0.0,0,0
55,105073,2018,7,20,10240,15360.0,0,0
56,105073,2018,12,9,6723,,0,0
57,105073,2018,5,8,12104,18156.0,0,0
58,105073,2018,6,4,3052,4578.0,0,0
59,105073,2018,9,4,6360,9540.0,0,0
60,105073,2018,10,4,2056,3084.0,0,0
61,105073,2018,4,3,3339,,0,0
62,105073,2018,2,0,0,0.0,0,0
63,105073,2018,3,0,0,0.0,0,0
64,105073,2018,8,0,0,0.0,0,0
65,105073,2018,11,0,0,0.0,0,0
66,105835,2018,6,12,7500,11250.0,0,0
67,105835,2018,10,8,10688,16032.0,0,0
68,105835,2018,11,6,10512,15768.0,0,0
