Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
"HC Resto, Gubeng",4.9,3.3 km,$$$·,40rb-100rb,Aneka nasi,"Jl.  Manyar Kertoarjo, Gubeng, Surabaya",10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/hc-resto-gubeng-0560d2a1-3818-4e65-a461-869ee14e1806,2025-07-12 01:34:07
"Steak Hut, Mulyorejo",4.9,3.14 km,$$$·,40rb-100rb,Barat,"Jl. Manyar Kertoarjo No. 80, Mulyorejo, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/steak-hut-mulyorejo-80d7f1df-d9af-4332-b9a7-080a555ddcff,2025-07-12 01:34:06
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo",4.8,4.01 km,$$$·,40rb-100rb,"Jajanan, Minuman, Sweets",Jalan Manyar Tirtoyoso Selatan IX No.11,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/frutamix-cold-pressed-juice-healthy-smoothie-bowl-sukolilo-a0221eed-74ab-4330-80db-7e1fb5528619,2025-07-12 01:34:04
de jazzio - Nasi hainan Chasio,5,4.37 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Klampis aji 1 no. 28, sukolilo, Surabaya",07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,Tutup,https://gofood.co.id/surabaya/restaurant/de-jazzio-nasi-hainan-chasio-e6867894-a456-406c-9ffb-4d63f9daf179,2025-07-12 01:34:28
"Anita Spiku Tart, Mulyorejo",3.8,3.02 km,$$$$,Diatas 100rb,Roti,"Jl. Manyar Kertoarjo No. 56, Mulyorejo, Surabaya",08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-20:00,https://gofood.co.id/surabaya/restaurant/anita-spiku-tart-mulyorejo-42585323-4b3d-455d-88d6-8582609cf3c3,2025-07-12 01:34:29
"Ayam Bakar Primarasa, Manyar Kertoarjo",4.9,3.08 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Manyar Kertoarjo No. 68-70, Mulyorejo, Surabaya",07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/ayam-bakar-primarasa-manyar-kertoarjo-22e57c6f-370f-4469-bdbe-ca6dff7acec9,2025-07-12 01:34:04
"Depot Langgeng Jaya, Jojoran",4.9,2.87 km,$$··,16rb-40rb,Aneka nasi,"Jl. Jojoran 3 B No. 63, Gubeng, Surabaya",06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,https://gofood.co.id/surabaya/restaurant/depot-langgeng-jaya-jojoran-8e153df8-b0c4-4ab6-9975-79318e67e777,2025-07-12 01:34:33
"Warung Gudeg Bu Toegijo, Pindahan Kertajaya",4.8,4.39 km,$$··,16rb-40rb,Aneka nasi,Ruko Z No 30 Jl. Klampis Aji 1,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-14:00,https://gofood.co.id/surabaya/restaurant/warung-gudeg-bu-toegijo-pindahan-kertajaya-afe6a9b6-b850-4c85-897d-c27357bbae81,2025-07-12 01:34:47
"Fajar Chinese Restaurant, Manyar",4.7,2.78 km,$$$·,40rb-100rb,"Chinese, Aneka nasi, Seafood","Jl. Manyar Kertoajo 5 No. 45 - 47, Mulyorejo, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/fajar-chinese-restaurant-manyar-f96257a7-1fb9-4cb9-b7af-b725aba0ea15,2025-07-12 01:35:26
"Pizza Hut, Manyar Kertoarjo",4.9,2.91 km,$$$$,Diatas 100rb,"Cepat saji, Barat, Jajanan, Ayam & bebek, Pizza & pasta","Jl. Manyar Kertoajo No. 2, Mulyorejo, Surabaya",08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,https://gofood.co.id/surabaya/restaurant/pizza-hut-manyar-kertoarjo-e4150761-79a6-4c0e-8f1b-a4a94403fd19,2025-07-12 01:35:20
"KFC, Manyar Kertoarjo",5,3.22 km,$$$·,40rb-100rb,Cepat saji,"Jl. Manyar Kertoarjo No. 92-94, Mulyorejo, Surabaya",08:00-22:00,08:00-22:00,08:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,https://gofood.co.id/surabaya/restaurant/kfc-manyar-kertoarjo-b4c693d8-5ef4-44da-b2ec-ca42916374cc,2025-07-12 01:34:08
"RM Sederhana SA, Kertajaya Indah 100",4.8,4.13 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Kertajaya Indah Raya No. 100, Mulyorejo, Surabaya",08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-10:30 & 12:30-21:00,08:30-21:00,08:30-21:00,https://gofood.co.id/surabaya/restaurant/rm-sederhana-sa-kertajaya-indah-100-86321e69-296b-4d32-9cd4-4cd1688eeef0,2025-07-12 01:34:49
