Nama Restoran,Nama Menu,Detail Menu,Harga,Status,Waktu Scraping
"HC Resto, Gubeng",Nasi Goreng Sayur,"Nasi Goreng Dengan Aneka Sayur (Wortel, Buncis, Jagung)",41.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Nasi Bakmoy,"Nasi Putih, Ayam, Gorengan Udang, Telur 1 Butir, Kerupuk Udang",51.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Sop Merah,"Ayam, Gorengan Udang, Sosis, Jamur, Wortel, Kacang Polong",47.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Lidah Asin Goreng,N/A,60.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Galantine,N/A,59.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Asam Asam Iga,Iga dengan kuah asam yang segar,76.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Empal Suwir,"Empal Suwir Bumbu HC, Sambal Terasi, Lalapan",42.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Soto Betawi,"Daging dengan kuah nikmat, dilengkapi kentang, Tomat, Emping",50.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Sop Sayur Daging,"Sop Daging Dengan Sayuran Wortel, Buncis, Kentang, Kubis",50.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Sop Iga,Sop Iga Dengan Kuah Kaldu Yang Gurih,76.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Empal Suwir Penyet,Empal Suwir Dengan Bumbu Khas HC Resto,46.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Iga Bakar Sambal Matah,Iga Yang Dibakar Dilengkapi Dengan Sambal Matah,83.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Rendang Suwir,Daging Rendang Yang Disuwir,70.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Rawon,N/A,50.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Soto Mie,N/A,50.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Iga Penyet,N/A,83.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Lidah Asin Goreng,Lidah Asin Mentega Dilengkapi Dengan Tumisan Bawang Merah,60.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Semur Lidah,Olahan Lidah Dengan Kentang dan Suun Sebagai Pelengkapnya,60.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Bistik Lidah,Lidah Dimasak Dengan Bumbu Bistik Dilengkapi Sayuran,60.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Sayur Asem,N/A,26.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Urap Urap,N/A,28.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Kangkung,N/A,31.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Gado Gado,N/A,45.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Rujak Cingur,N/A,51.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Rujak Manis,N/A,44.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Jagung,N/A,35.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Buncis Telur,N/A,35.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Tauge Ikan Asin,N/A,35.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Buncis,N/A,31.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Tumis Udang Buncis,N/A,57.000,Tersedia,2025-07-12 01:34:02
"HC Resto, Gubeng",Dadar Jagung,Gorengan Jagung Renyah Gurih,32.000,Tersedia,2025-07-12 01:34:02
