Nama Restoran,Judul Promo,Cara Menggunakan,Detail Promo,Waktu Scraping
"Steak Hut, Mulyorejo","Diskon makanan 35%, maks. 176rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-12 01:34:06
"Steak Hut, Mulyorejo","Diskon makanan 30%, maks. 76rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-12 01:34:06
"Steak Hut, Mulyorejo","Diskon makanan 75%, maks. 15rb",Use with GoPay atau 7 lainnya,Khusus pesanan reguler tanpa min. pembelian,2025-07-12 01:34:06
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo","Diskon makanan 40%, maks. 137rb",Use with GoPay atau 7 lainnya,Min. pembelian 190rb,2025-07-12 01:34:04
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo","Diskon makanan 35%, maks. 60rb",Use with GoPay atau 7 lainnya,Min. pembelian 114rb,2025-07-12 01:34:04
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 7 lainnya,Min. pembelian 50rb,2025-07-12 01:34:04
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo","Diskon makanan 75%, maks. 15rb",Use with GoPay atau 7 lainnya,Khusus pesanan reguler tanpa min. pembelian,2025-07-12 01:34:04
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 30%, maks. 151rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-12 01:34:04
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 25%, maks. 63rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-12 01:34:04
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 20%, maks. 25rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-12 01:34:04
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 75%, maks. 15rb",Use with GoPay atau 7 lainnya,Khusus pesanan reguler tanpa min. pembelian,2025-07-12 01:34:04
"Warung Gudeg Bu Toegijo, Pindahan Kertajaya","Diskon makanan 35%, maks. 44rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-12 01:34:47
"Warung Gudeg Bu Toegijo, Pindahan Kertajaya","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 42rb,2025-07-12 01:34:47
"Warung Gudeg Bu Toegijo, Pindahan Kertajaya","Diskon makanan 75%, maks. 15rb",Use with GoPay atau 7 lainnya,Khusus pesanan reguler tanpa min. pembelian,2025-07-12 01:34:47
"Fajar Chinese Restaurant, Manyar","Diskon makanan 40%, maks. 194rb",Use with GoPay atau 7 lainnya,Min. pembelian 270rb,2025-07-12 01:35:26
"Fajar Chinese Restaurant, Manyar","Diskon makanan 35%, maks. 85rb",Use with GoPay atau 7 lainnya,Min. pembelian 135rb,2025-07-12 01:35:26
"Fajar Chinese Restaurant, Manyar","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-12 01:35:26
"RM Sederhana SA, Kertajaya Indah 100","Diskon makanan 40%, maks. 130rb",Use with GoPay atau 7 lainnya,Min. pembelian 180rb,2025-07-12 01:34:49
"RM Sederhana SA, Kertajaya Indah 100","Diskon makanan 35%, maks. 57rb",Use with GoPay atau 7 lainnya,Min. pembelian 90rb,2025-07-12 01:34:49
"RM Sederhana SA, Kertajaya Indah 100","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 7 lainnya,Min. pembelian 45rb,2025-07-12 01:34:49
"RM Sederhana SA, Kertajaya Indah 100","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 7 lainnya,Min. pembelian 54rb,2025-07-12 01:34:49
