Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",wisnu,4 Februari 2019,3.0,nunggunya sejam lebih,Nasi Ayam Mangap T3 Sambel Bawang Spr Pedas,2 April 2025,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",WANG ING,3 Januari 2016,1.0,mbak itu pesanan sy kok lelenya tdk ada kan pesanan sy bandeng presto 1bj nasi 2 bj telur dadar 1bj lele 1bj knp kok lelenya tdk kasih pdhl sdh sy byr gmn nih cara pelayanannya kok tdk benar tlg dikembalikan uang sy,Bandeng Presto - Lele Goreng - Telur Mata Sapi / Dadar - Nasi Putih,30 Maret 2025,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Y***** A*****,9 November 2018,5.0,"Rasanya enak, porsi nya banyak, sambelnya super banyak super nampol 😋",Nasi Ayam Mangap T3 Sambel Bawang Spr Pedas - Tahu / Tempe,16 Oktober 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Riodika sukmawan,6 Januari 2019,5.0,sesuai ekspektasi saya.. trima kasih,Nasi Lele Kremes - Telur Mata Sapi / Dadar - Paket Nasi Udang Kremes,26 Agustus 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",ulfi karomah,31 Desember 2017,5.0,enakk porsi pas,Nasi Ayam Goreng T3 Sambel Ijo Spr Pedas - Sambelan Bandeng Presto,15 Agustus 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",i gusti ngurah made budayana,2 September 2015,1.0,"Jangan harap kayak gambar jauh, bebek ukurannya kayak jari kelingking. Dehh dahlah sekali saja. Kecur semua",Bebek Paha/ Dada - Nasi Ayam Goreng + Telur Komplit Special,3 Mei 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Pralita,15 Juni 2015,3.0,"makanan tidak sesuai pesanan. 
pesan lele 2 yang datang 1 lele dan nasi",Paket Mantul Dua (lele) - Nasi Udang Kremes T3 + Telur Sbl Bawang S. Pedas,18 April 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Mikail yongki,10 Agustus 2019,5.0,"sambalnya yg ijo enak banget, pas rasa dan pedasnya, tp ukuran ayamnya kecil",Nasi Ayam Goreng T3 Sambel Ijo Spr Pedas - Nasi Ayam Goreng Serundeng T3,16 April 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",P****,23 Juli 2017,4.0,"maaf *4, krn mmg ini makanan dan minuman TA, sebaiknya menyediakan mesin press utk minuman, shg aman tdk bocor atau tumpah, minuman orderan hari ini tumpah semua",Nasi Ayam Mangap T3 Sambel Teri - Nasi Ayam Goreng + Telur Komplit Special - Nasi Udang Kremes T3 + Telur Sbl Bawang S. Pedas - Penyetan Wader - Es Good Day Freeze - Es Teh Manis/Tawar - Es Milo,13 April 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Rahmita Alfinda,20 Februari 2022,2.0,aku pesen sambel pencit tpi yg di kasih sambal bawang 😔,Paket Mantul 3 (ayam) - Telur Mata Sapi / Dadar - Es Milo,26 Maret 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",i gusti ngurah made budayana,2 September 2015,1.0,"Mananya sambel uleg jauh banget dari gambar. Bebek juga kecilnya astagaaaa, ayam tulang tok kecil lagi. Sambel minyaaakkk doang, gada uleg ulegann. Kalau ada bintang dibawah 1 kukasih itu",Nasi Bebek Sambel Ijo Super Pedas - Nasi Ayam Goreng + Telur Komplit Special,3 Februari 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",Erik Dwi Prasetya,11 Juli 2023,1.0,"mujaernya dalamnya pucat tidak seperti resto lainnya,rasanya jg tidak enak.nasinya juga keras 😪😪😪",Nasi Ayam Mangap T3 Sambel Terasi - Paket Mantul 4 (mujair),8 Januari 2024,2025-07-11 22:16:10
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",tika,16 Mei 2016,3.0,untuk ikan klu bisa di bagian belah belah tengahny agar bumbu nyerap,Paket Mantul 4 (mujair) - Sambelan Bandeng Presto,1 Januari 2024,2025-07-11 22:16:10
