Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
"Pempek Mantoel, Beji - Gunung Gangsir",4.8,20.64 km,$$··,16rb-40rb,Jajanan,Dsn Gunung Gangsir RT 001/006,16:00-21:30,16:00-21:30,16:00-21:30,16:00-21:30,16:00-21:30,16:00-21:45,16:00-21:30,https://gofood.co.id/pasuruan/restaurant/pempek-mantoel-beji-gunung-gangsir-41f97176-8559-4838-95fd-1ba647b1de87,2025-07-13 18:43:58
Martabak Bangil Masday,4.2,20.65 km,$$$·,40rb-100rb,"Jajanan, Martabak, Sweets",Jalan Joko Sambang Rt 1 Rw 6 Gununggansir Beji,16:00-22:15,16:00-22:15,16:00-22:15,16:00-22:15,16:00-22:15,16:00-22:15,16:00-22:15,https://gofood.co.id/pasuruan/restaurant/martabak-bangil-masday-278f1a7e-20df-4561-8455-520ff7a0081d,2025-07-13 18:43:58
"Warung Mbok Patrem, Gununggangsir",4.8,19.76 km,$$··,16rb-40rb,"Aneka nasi, Bakmie","Jl. Hasan Munadi, Beji, Pasuruan",16:00-22:00,16:00-22:00,16:00-22:00,Tutup,16:00-22:00,16:00-22:00,16:00-22:00,https://gofood.co.id/pasuruan/restaurant/warung-mbok-patrem-gununggangsir-11c542dc-b3cd-427e-bc10-622ad8edc079,2025-07-13 18:43:56
"Pisang Keju ""QQ"", Gununggangsir",4.7,20.64 km,$$··,16rb-40rb,Jajanan,"Teras Resto Doyan Ayam, Jl. Gununggangsir Raya, Gununggangsir, Beji, Pasuruan",16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,https://gofood.co.id/pasuruan/restaurant/pisang-keju-qq-gununggangsir-e016cc55-3df8-4347-898e-0b3efd4aec62,2025-07-13 18:44:02
"Warbugk, Pasar Baru Cangkringmalang",5,20.61 km,$$··,16rb-40rb,"Jajanan, Cepat saji, Barat","Pasar Baru Cangkringmalang, Beji, Pasuruan",16:00-23:45,16:00-23:45,16:00-23:45,16:00-23:45,16:00-23:45,16:00-23:45,16:00-23:45,https://gofood.co.id/pasuruan/restaurant/warbugk-pasar-baru-cangkringmalang-385a7649-ad7c-4b65-b9bf-912a9ff7d05c,2025-07-13 18:43:58
"Siomay dan Batagor Asgar, Gununggangsir",4.8,20.66 km,$···,Dibawah 16rb,Jajanan,"Jl. Gununggangsir Raya, Gununggangsir, Beji, Pasuruan",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,https://gofood.co.id/pasuruan/restaurant/siomay-dan-batagor-asgar-gununggangsir-859f1454-48bc-4619-9dc2-3f0b6c2467b4,2025-07-13 18:44:22
"Martabak & Terang Bulan M455 4LL, Gununggangsir",4.4,20.61 km,$$$·,40rb-100rb,Martabak,"Jl. Gununggangsir Raya, Beji, Pasuruan",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,10:00-22:00,https://gofood.co.id/pasuruan/restaurant/martabak-terang-bulan-m455-4ll-gununggangsir-f6b43732-0b1b-4380-82b7-daedc4bb5b19,2025-07-13 18:44:26
"Studio Coffee, Pasar Turen Beji Kab.Pasuruan",Baru,20.58 km,$···,Dibawah 16rb,"Kopi, Minuman, Jajanan","Jl.randupitu-Gunung Gangsir, Selo Rawan, Cangkringmalang, Kec.Beji Kab.Pasuruan, Jawa Timur 67154, Indonesia",17:00-23:59,17:00-23:59,17:00-23:59,17:00-23:59,17:00-23:59,17:00-23:59,17:00-23:59,https://gofood.co.id/pasuruan/restaurant/studio-coffee-pasar-turen-beji-kab-pasuruan-0a7ae451-fad5-4607-bf81-94ddf2687733,2025-07-13 18:44:22
Ayam Geprek Mak'e & Gedang Goreng Bang El Aneka Rasa,4.9,20.66 km,$···,Dibawah 16rb,"Jajanan, Ayam & bebek",Jl Randupitu-gunung Gangsir No 62 Candi Gunung Gangsir Kec.Beji,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,https://gofood.co.id/pasuruan/restaurant/ayam-geprek-mak-e-gedang-goreng-bang-el-aneka-rasa-7615f77a-98be-4e7c-830d-c4ef555bc4ee,2025-07-13 18:44:22
"Bakso Himalaya, Gununggangsir",4.9,20.66 km,$$··,16rb-40rb,Bakso & soto,"Jl. Gununggangsir Raya No. 11, Beji, Pasuruan",09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,https://gofood.co.id/pasuruan/restaurant/bakso-himalaya-gununggangsir-94ec0d5c-b71a-4cc0-a49a-a4a54baf0659,2025-07-13 18:44:40
