Nama Restoran,Nama Menu,Detail Menu,Harga,Status,Waktu Scraping
"Pempek Mantoel, Beji - Gunung Gangsir",Kapal Selam,1 Pcs Kapal Selam,6.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Kulit,1pcs kulit,5.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Pempek 1 Porsi,"Selam , Lenjer , Kulit , Cuko , Sambel , Timun",14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Pempek 1 Porsi,N/A,14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Pempek 1 Porsi,"Selam , Lenjer , Kulit , Cuko , Sambel , Timun",14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Kapal Selam,1 Pcs Kapal Selam,6.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Lenjer,1pcs Lenjer,6.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Kulit,1pcs kulit,5.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Bebek Sambel Ijo,Nasi + Bebek + Sambel + Lalapan,28.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Ayam Sambel ijo,Nasi + Ayam + Sambel + Lalapan,28.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Bebek KRIBO,Nasi + Bebek Kribo + Lalapan + Sambel,27.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Ayam Goreng Nangkring,"Nasi + Ayamnya Yg Gemol Banget Bakalan Bikin Puas MenikmatinyA,,,,SambelnyA Mantab Banget Pedesnya,,,,Di Tambah Kremesan Yg Bikin Semakin Sedap Dan Nikmaaaaattt",27.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Lontong Kikil,"KikilnyA Empuk Ga Alot Dan Ga Prengus,,,,Soal Rasa Di Jamin Nampoool Bingiiitz SedepnyAaaa",22.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Bebek / Menthok Woku Woku,"Nasi + Bebek Woku Woku Di Jamin Kenyang Dan Rasa RempahnyA Kuat Banget , Di Tambah Taburan Bawang Goreng Dan Juga Daun Kemangi,,,,Sehingga Menghasilkan Rasa Yang Khas Dan Nikmaaaattt",22.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Mujaer Sambel Ijo,Nasi + Mujaer + Sambel + Lalapan,22.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Penyetan Mujaer,Nasi + Mujaer + Sambel + Lalapan,20.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Penyetan Lele,Nasi + Lele + Lalapan + Sambel,16.500,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Tempe Penyet,"Nasi + Tahu , Tempe + Lalapan + Sambel",14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Nasi Putih,N/A,8.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Sambal,N/A,8.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Ocean Blue,Rainbow Mojito,14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Tropical Galaxy,Rainbow Mojito,14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Piri Piri Black Mojito,Rainbow Mojito,14.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Kopi,N/A,7.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Es Jeruk,N/A,9.000,Tersedia,2025-07-13 18:43:52
"Pempek Mantoel, Beji - Gunung Gangsir",Es Teh,N/A,7.000,Tersedia,2025-07-13 18:43:52
Martabak Bangil Masday,Biasa Bebek,N/A,32.800,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Istimewah Bebek,N/A,48.300,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Spesial Bebek,N/A,64.400,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Jumbo Bebek,N/A,86.250,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Blueberry Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju Kacang Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Biasa Bebek,N/A,32.800,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Istimewah Bebek,N/A,48.300,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Spesial Bebek,N/A,64.400,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Jumbo Bebek,N/A,86.250,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Biasa Ayam,N/A,27.750,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Istimewah Ayam,N/A,44.250,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Spesial Ayam,N/A,60.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Jumbo Ayam,N/A,75.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Coklat + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Kacang + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Strawberry + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Blueberry + Susu,N/A,25.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Kacang Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Blueberry Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju Kacang Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Keju Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Terang Bulan Strawberry Coklat Susu,N/A,30.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Keju Kacang Coklat,N/A,32.000,Tersedia,2025-07-13 18:43:53
Martabak Bangil Masday,Blueberry Keju Kacang,N/A,32.000,Tersedia,2025-07-13 18:43:53
"Warung Mbok Patrem, Gununggangsir",Nasi Goreng,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Nasi Goreng,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Nasi Mawut,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Nasi Putih,N/A,8.500,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Mie Goreng,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Mie Kuah,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Lo Mie,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Bihun Goreng,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Bihun Kuah,N/A,16.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Cap Cay Goreng,N/A,32.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Cap Cay Kuah,N/A,32.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Cap Cay Mie Goreng,N/A,36.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Cap Cay Mie Kuah,N/A,36.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Nasi Cap Cay,N/A,27.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Nasi Ayam Sayur,N/A,24.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Koloke,N/A,35.500,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Fuyung Hae,N/A,32.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Ayam Sauce Inggris,N/A,40.000,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Es Teh,N/A,4.750,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Teh Panas / Hangat,N/A,4.750,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Es Jeruk,N/A,5.750,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Jeruk Hangat/panas,N/A,5.750,Tersedia,2025-07-13 18:43:51
"Warung Mbok Patrem, Gununggangsir",Es Sirup,N/A,4.750,Tersedia,2025-07-13 18:43:51
