Nama Restoran,Judul Promo,Cara Menggunakan,Detail Promo,Waktu Scraping
"Top Kebab Burger, Gunung Gangsir","Diskon makanan 45%, maks. 59rb",Use with GoPay atau 6 lainnya,Min. pembelian 54rb,2025-07-13 18:44:57
"Top Kebab Burger, Gunung Gangsir","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 6 lainnya,Min. pembelian 45rb,2025-07-13 18:44:57
"Tepisawah Cafe & Warung Lesehan, Beji","Diskon makanan 20%, maks. 80rb",Use with GoPay atau 6 lainnya,Min. pembelian 200rb,2025-07-13 18:45:21
"Tepisawah Cafe & Warung Lesehan, Beji","Diskon makanan 10%, maks. 20rb",Use with GoPay atau 6 lainnya,Min. pembelian 100rb,2025-07-13 18:45:21
"Tepisawah Cafe & Warung Lesehan, Beji","Diskon makanan 10%, maks. 10rb",Use with GoPay atau 6 lainnya,Min. pembelian 50rb,2025-07-13 18:45:21
"NC Donut N Cake, Depan Polindes Bulusari","Diskon makanan 20%, maks. 28rb",Use with GoPay atau 6 lainnya,Min. pembelian 70rb,2025-07-13 18:48:59
"NC Donut N Cake, Depan Polindes Bulusari","Diskon makanan 10%, maks. 7rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:48:59
"NC Donut N Cake, Depan Polindes Bulusari","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:48:59
"Ayam Bakar Caramel & Thesnackz, Griya Bangil Asri Blok B-10","Diskon makanan 45%, maks. 54rb",Use with GoPay atau 6 lainnya,Min. pembelian 48rb,2025-07-13 18:49:46
"Ayam Bakar Caramel & Thesnackz, Griya Bangil Asri Blok B-10","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 6 lainnya,Min. pembelian 40rb,2025-07-13 18:49:46
Mie Lonlon - Bangil,"Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:50:17
Mie Lonlon - Bangil,"Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:50:17
"Nasi Goreng Dan Nasi Soto Ayam Lamongan (Pranem) Kak Sarbini, Diponegoro","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:54:14
"Nasi Goreng Dan Nasi Soto Ayam Lamongan (Pranem) Kak Sarbini, Diponegoro","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:54:14
"Shawarma Republic, Kersikan","Diskon makanan 45%, maks. 59rb",Use with GoPay atau 6 lainnya,Min. pembelian 54rb,2025-07-13 18:56:00
"Shawarma Republic, Kersikan","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 6 lainnya,Min. pembelian 45rb,2025-07-13 18:56:00
"Squat Thai Tea & Dimsum, Bangil","Diskon makanan 20%, maks. 28rb",Use with GoPay atau 6 lainnya,Min. pembelian 70rb,2025-07-13 18:56:28
"Squat Thai Tea & Dimsum, Bangil","Diskon makanan 10%, maks. 7rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:56:28
"Squat Thai Tea & Dimsum, Bangil","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:56:28
"XRP Chicken, Deplatte","Diskon makanan 50%, maks. 84rb",Use with GoPay atau 6 lainnya,Min. pembelian 72rb,2025-07-13 18:45:33
"XRP Chicken, Deplatte","Diskon makanan 35%, maks. 42rb",Use with GoPay atau 6 lainnya,Min. pembelian 60rb,2025-07-13 18:45:33
"Resto Pempek Basket 28, Kuti Pandaan","Diskon makanan 45%, maks. 54rb",Use with GoPay atau 6 lainnya,Min. pembelian 48rb,2025-07-13 18:47:58
"Resto Pempek Basket 28, Kuti Pandaan","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 6 lainnya,Min. pembelian 40rb,2025-07-13 18:47:58
"Faeyza Kitchen, Pateguhan","Diskon makanan 20%, maks. 28rb",Use with GoPay atau 6 lainnya,Min. pembelian 70rb,2025-07-13 18:49:41
"Faeyza Kitchen, Pateguhan","Diskon makanan 10%, maks. 7rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:49:41
"Faeyza Kitchen, Pateguhan","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:49:41
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 45%, maks. 54rb",Use with GoPay atau 6 lainnya,Min. pembelian 48rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 45%, maks. 54rb",Use with GoPay atau 6 lainnya,Min. pembelian 48rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 20%, maks. 32rb",Use with GoPay atau 6 lainnya,Min. pembelian 80rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 6 lainnya,Min. pembelian 40rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 6 lainnya,Min. pembelian 40rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 10%, maks. 8rb",Use with GoPay atau 6 lainnya,Min. pembelian 40rb,2025-07-13 18:51:27
"Makaroni Nyam!, Sidomukti, Pandaan","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:51:27
"Ayam Geprek Hakiki, Jl. A Yani Jogonalan Pandaan","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:52:37
"Ayam Geprek Hakiki, Jl. A Yani Jogonalan Pandaan","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:52:37
"Geprek Vidiviti, Pandaan","Diskon makanan 45%, maks. 59rb",Use with GoPay atau 6 lainnya,Min. pembelian 54rb,2025-07-13 18:53:13
"Geprek Vidiviti, Pandaan","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 6 lainnya,Min. pembelian 45rb,2025-07-13 18:53:13
"Q5 Steak And Bowl, Pandaan","Diskon makanan 35%, maks. 84rb",Use with GoPay atau 7 lainnya,Min. pembelian 120rb,2025-07-13 18:54:36
"Q5 Steak And Bowl, Pandaan","Diskon makanan 25%, maks. 15rb",Use with GoPay atau 7 lainnya,Min. pembelian 30rb,2025-07-13 18:54:36
"Takoshi (Takoyaki, Sushi, Ramen), Pandaan","Diskon makanan 45%, maks. 59rb",Use with GoPay atau 6 lainnya,Min. pembelian 54rb,2025-07-13 18:44:52
"Takoshi (Takoyaki, Sushi, Ramen), Pandaan","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:44:52
"Takoshi (Takoyaki, Sushi, Ramen), Pandaan","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 6 lainnya,Min. pembelian 45rb,2025-07-13 18:44:52
"Takoshi (Takoyaki, Sushi, Ramen), Pandaan","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:44:52
"Mie Ayam Narasa, Ngemplak","Diskon makanan 20%, maks. 28rb",Use with GoPay atau 6 lainnya,Min. pembelian 70rb,2025-07-13 18:50:45
"Mie Ayam Narasa, Ngemplak","Diskon makanan 20%, maks. 28rb",Use with GoPay atau 6 lainnya,Min. pembelian 70rb,2025-07-13 18:50:45
"Mie Ayam Narasa, Ngemplak","Diskon makanan 10%, maks. 7rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:50:45
"Mie Ayam Narasa, Ngemplak","Diskon makanan 10%, maks. 7rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:50:45
"Mie Ayam Narasa, Ngemplak","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:50:45
"Mie Ayam Narasa, Ngemplak","Diskon makanan 10%, maks. 4rb",Use with GoPay atau 6 lainnya,Min. pembelian 20rb,2025-07-13 18:50:45
"Mie Pedas Level, Ayam Geprek, Es Teler, Jus Buah, Salad, Kedai AGS Sukorejo","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:51:23
"Mie Pedas Level, Ayam Geprek, Es Teler, Jus Buah, Salad, Kedai AGS Sukorejo","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:51:23
"Kedai, Syarifah Cake","Diskon makanan 20%, maks. 40rb",Use with GoPay atau 6 lainnya,Min. pembelian 100rb,2025-07-13 18:54:00
"Kedai, Syarifah Cake","Diskon makanan 10%, maks. 10rb",Use with GoPay atau 6 lainnya,Min. pembelian 50rb,2025-07-13 18:54:00
"Kedai, Syarifah Cake","Diskon makanan 10%, maks. 5rb",Use with GoPay atau 6 lainnya,Min. pembelian 25rb,2025-07-13 18:54:00
"Sate Legit, Damarjati Purwosari","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-13 18:54:20
"Sate Legit, Damarjati Purwosari","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-13 18:54:20
"Adam Juss Kelempoken, Kebonsari","Diskon makanan 20%, maks. 32rb",Use with GoPay atau 6 lainnya,Min. pembelian 80rb,2025-07-13 18:54:36
