Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"Pempek Mantoel, Beji - Gunung Gangsir",Selamet Mashudi,27 Desember 2018,5.0,"mantap , betul2 empek2 ikan oruginal",Kulit - Lenjer - Kapal Selam,13 Agustus 2024,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",S**** K*****,16 Agustus 2018,5.0,enak bgtttt hua,Ayam Sambel ijo - Es Teh,3 April 2023,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",Lailatul Ila,9 April 2020,5.0,muanteppp pedes sambelnya juga muanteb,Bebek Sambel Ijo,10 Maret 2023,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",aulia agustiningsih,2 November 2015,5.0,sayanggg deh sm chef-nya. enak bgtt. pertahankan rasanya,Bebek Sambel Ijo - Es Jeruk,16 Januari 2023,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",eri sobari,5 Agustus 2016,5.0,"enak rasanya, sambal nya jg enak dan kikil nya enak",Penyetan Lele - Lontong Kikil - Es Teh,21 November 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",tri astari dinazar,11 Oktober 2020,4.0,"lebih k manis sih,  tp enk kok",Lontong Kikil,31 Oktober 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",Vivi Nurhaliza,9 Oktober 2017,5.0,"Lebih kemanis tapi uwendul, sambelnya pedas sedep enak pokoknya😙",Bebek Sambel Ijo,24 Oktober 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",dife,17 November 2021,2.0,lele nya agak bau 🙏,Bebek Sambel Ijo - Penyetan Lele,27 September 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",N***,29 Oktober 2020,2.0,"saya sebenarnya pesan nasi jaer 3, tapi ternyata jaernya tinggal 2. jadi di ganti sama nasi lele. kan harga jaer sama lele itu beda, tapi meski Uda diganti lele, kok harganya sama dengan jaer padahal harganya beda. harusnya kan total pembayarannya juga beda. tapi ini sama, sangat mengecewakan",Penyetan Mujaer,14 Juni 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",C**** I***** N********,1 Januari 2022,5.0,"enak banget sedep gurih, sambal banyak tp emang ga pedes sama sekali, enak pokonya, porsinya banyak",Tempe Penyet - Bebek KRIBO,26 Maret 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",ika mudrika,31 Oktober 2018,4.0,"enak sich lontong nya
tp blue ice q kok warnanya ijo",Lontong Kikil - Ocean Blue - Ayam Goreng Nangkring - Nasi Putih,2 Februari 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",uut irnawati,12 Juli 2021,5.0,sambal ijonya muantabbbbb,Bebek Sambel Ijo,31 Januari 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",Lely,22 September 2020,5.0,enak banget..pedes nya nampolll,Bebek Sambel Ijo,26 Januari 2022,2025-07-13 18:44:06
"Pempek Mantoel, Beji - Gunung Gangsir",cahyana,20 Februari 2017,4.0,nasinya kurang 🤭🤭,Bebek KRIBO,27 Desember 2021,2025-07-13 18:44:06
Martabak Bangil Masday,MOCHAMMAD ALAM,6 Januari 2020,1.0,kurang matang adonan nya,Terang Bulan Keju Coklat Susu,27 April 2023,2025-07-13 18:44:07
Martabak Bangil Masday,H**** A***,29 Oktober 2018,3.0,Bantet terang bulannya 🥹,Martabak Biasa Telor 2 - Terang Bulan Keju Coklat Susu,17 November 2022,2025-07-13 18:44:07
