Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
de jazzio - Nasi hainan Chasio,5,4.37 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Klampis aji 1 no. 28, sukolilo, Surabaya",07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,Tutup,https://gofood.co.id/surabaya/restaurant/de-jazzio-nasi-hainan-chasio-e6867894-a456-406c-9ffb-4d63f9daf179,2025-07-11 07:33:34
"Orchidtano Pizza, Gunawangsa Manyar Hotel",4.2,4.02 km,$$$·,40rb-100rb,"Barat, Pizza & pasta, Indonesia","Jl. Menur Pumpungan No. 62, Sukolilo, Surabaya",06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,https://gofood.co.id/surabaya/restaurant/orchidtano-pizza-gunawangsa-manyar-hotel-a454a71c-f50b-4266-ba20-286aefb2ef36,2025-07-11 07:34:12
"Steak Hut, Mulyorejo",4.9,3.14 km,$$$·,40rb-100rb,Barat,"Jl. Manyar Kertoarjo No. 80, Mulyorejo, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/steak-hut-mulyorejo-80d7f1df-d9af-4332-b9a7-080a555ddcff,2025-07-11 07:34:22
"Frutamix Cold Pressed Juice & Healthy Smoothie Bowl, Sukolilo",4.8,4.01 km,$$$·,40rb-100rb,"Jajanan, Minuman, Sweets",Jalan Manyar Tirtoyoso Selatan IX No.11,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/frutamix-cold-pressed-juice-healthy-smoothie-bowl-sukolilo-a0221eed-74ab-4330-80db-7e1fb5528619,2025-07-11 07:34:22
"Tauwa Surya KONI, Kertajaya Indah Raya 4",5,3.91 km,$···,Dibawah 16rb,"Minuman, Jajanan","Tempat Kuliner, Parkiran Lapangan Atletik Koni, Jl. Kertajaya Indah Raya 4, Mulyorejo, Surabaya",Tutup,06:00-09:30,06:00-09:30,06:00-09:30,06:00-09:30,06:00-09:30,06:00-09:30,https://gofood.co.id/surabaya/restaurant/tauwa-surya-koni-kertajaya-indah-raya-4-d8d694c1-d09e-48fe-a9bd-fe8b649c956a,2025-07-11 07:34:42
"Depot Langgeng Jaya, Jojoran",4.9,2.87 km,$$··,16rb-40rb,Aneka nasi,"Jl. Jojoran 3 B No. 63, Gubeng, Surabaya",06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,https://gofood.co.id/surabaya/restaurant/depot-langgeng-jaya-jojoran-8e153df8-b0c4-4ab6-9975-79318e67e777,2025-07-11 07:34:57
"Bubur Ayam Pak Didin Bandung, Menur Pumpungan",4.8,3.62 km,$···,Dibawah 16rb,Aneka nasi,"Jl. Menur Pumpungan No. 16A (Area Toko Bangunan Lancar Jaya), Mulyorejo, Surabaya",05:00-15:00,05:00-15:00,05:30-15:00,05:30-15:00,05:00-15:00,05:00-15:00,05:00-15:00,https://gofood.co.id/surabaya/restaurant/bubur-ayam-pak-didin-bandung-menur-pumpungan-381fefab-39de-48e4-8693-f8658a00159a,2025-07-11 07:35:01
"Ayam Bakar Primarasa, Manyar Kertoarjo",4.9,3.08 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Manyar Kertoarjo No. 68-70, Mulyorejo, Surabaya",07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/ayam-bakar-primarasa-manyar-kertoarjo-22e57c6f-370f-4469-bdbe-ca6dff7acec9,2025-07-11 07:34:48
"Yummy Resto, Manyar Kertoarjo",5,2.69 km,$$··,16rb-40rb,Aneka nasi,"Jl. Manyar Kertoarjo 4 No. 29, Gubeng, Surabaya",07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,Tutup,https://gofood.co.id/surabaya/restaurant/yummy-resto-manyar-kertoarjo-30a4ec55-c709-4aaf-a4f6-d9ffe917b949,2025-07-11 07:36:22
"KFC, Manyar Kertoarjo",5,3.22 km,$$$·,40rb-100rb,Cepat saji,"Jl. Manyar Kertoarjo No. 92-94, Mulyorejo, Surabaya",08:00-22:00,08:00-22:00,08:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,https://gofood.co.id/surabaya/restaurant/kfc-manyar-kertoarjo-b4c693d8-5ef4-44da-b2ec-ca42916374cc,2025-07-11 07:33:59
"Esther Salad, Manyar Kartika",4.4,4.19 km,$$$·,40rb-100rb,Sweets,"Jl. Manyar Kartika 3 No. 19, Sukolilo, Surabaya",07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,06:30-16:00,06:30-16:00,06:30-16:00,https://gofood.co.id/surabaya/restaurant/esther-salad-manyar-kartika-fd752ba8-119a-4878-98e5-050e5595a11b,2025-07-11 07:36:23
"Fajar Chinese Restaurant, Manyar",4.7,2.78 km,$$$·,40rb-100rb,"Chinese, Aneka nasi, Seafood","Jl. Manyar Kertoajo 5 No. 45 - 47, Mulyorejo, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/fajar-chinese-restaurant-manyar-f96257a7-1fb9-4cb9-b7af-b725aba0ea15,2025-07-11 07:36:07
"Alesha Lapis Kukus Surabaya, Semolowaru",5,5.78 km,$$$·,40rb-100rb,Roti,"Jl. Semolowaru No. 176B, Sukolilo, Surabaya",07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/alesha-lapis-kukus-surabaya-semolowaru-7dae441a-4b0a-4b43-a869-e0ebdbd24ead,2025-07-11 07:36:55
"Pecel Madiun Mbak Lin, Karang Menur Timur",4.8,2.35 km,$···,Dibawah 16rb,Aneka nasi,"Jl. Karang Menur Timur No. 27A, Gubeng, Surabaya",Tutup,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,https://gofood.co.id/surabaya/restaurant/pecel-madiun-mbak-lin-karang-menur-timur-72c695df-7537-423c-a87b-f3908ba96010,2025-07-11 07:36:57
"Warung Bu Kris, Manyar Kertoarjo",4.8,2.68 km,$$··,16rb-40rb,Aneka nasi,"Jl. Manyar Kertoarjo 4 No. 23, Gubeng, Surabaya",07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,Tutup,https://gofood.co.id/surabaya/restaurant/warung-bu-kris-manyar-kertoarjo-8426f53a-3b20-44ca-b0e8-e70c04f0e921,2025-07-11 07:36:54
"Kebab Turki Baba Rafi, Ruko Nginden",4.6,5.17 km,$$··,16rb-40rb,"Timur Tengah, Jajanan, Cepat saji","Ruko Manyar Garden Regency Kav. 29 - 30 Jl. Nginden Semolo No. 109, Sukolilo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kebab-turki-baba-rafi-ruko-nginden-532e01b7-6721-4252-9292-a94674366680,2025-07-11 07:36:52
"Soto Pak Djayus, Manyar",4.7,4.6 km,$$··,16rb-40rb,Bakso & soto,"Jl. Manyar Raya No. 81, Gubeng, Surabaya",06:00-23:30,06:00-23:30,06:00-23:30,06:00-23:30,06:00-23:30,06:00-23:30,06:00-23:30,https://gofood.co.id/surabaya/restaurant/soto-pak-djayus-manyar-dd226eca-01c1-4278-ab75-136988655034,2025-07-11 07:37:22
"Nasi Kuning Banjar Rakhman, Gubeng",4.6,4.28 km,$$··,16rb-40rb,"Aneka nasi, Ayam & bebek, Cepat saji","Jl. Bratang Binangun No. 67, Gubeng, Surabaya",06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,https://gofood.co.id/surabaya/restaurant/nasi-kuning-banjar-rakhman-gubeng-969509fb-370e-4a1b-b3ba-6488e2e4c8b0,2025-07-11 07:37:35
"Surabaya Patata, Dharmahusada",4.9,2.36 km,$$$·,40rb-100rb,Roti,"Jl. Dharmahusada No. 187, Gubeng, Surabaya",07:00-21:45,07:00-21:45,07:00-21:30,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/surabaya-patata-dharmahusada-1c8acdfe-8505-4d86-bec9-a097768000aa,2025-07-11 07:37:46
"Laritta Bakery, Dhamahusada",4.9,2.23 km,$···,Dibawah 16rb,Roti,"Jl. Dharmahusada No.173, Gubeng, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-dhamahusada-20390fb9-e979-4f6a-9277-219eed029ca8,2025-07-11 07:38:08
"Masakan Tiociu, Gubeng",5,4.53 km,$$··,16rb-40rb,Chinese,"Jl. Bratang Binangun 8 No. 62-64, Gubeng, Surabaya",07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,08:30-19:30,Tutup,https://gofood.co.id/surabaya/restaurant/masakan-tiociu-gubeng-d478840d-f91c-444a-a33d-791cede64e00,2025-07-11 07:38:18
"Yung Ho, Dharmahusada",4.9,1.92 km,$$$·,40rb-100rb,Chinese,"Jl. Dharmahusada No. 50, Gubeng, Surabaya Timur",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/yung-ho-dharmahusada-82f86ae2-7385-4b05-b655-a3760f0f8c9c,2025-07-11 07:38:39
