Nama Restoran,Nama Menu,Detail Menu,Harga,Status,Waktu Scraping
de jazzio - Nasi hainan Chasio,Classic Mixed - Hainan Rice,"Nasi Hainan, Ayam Panggang (Sioke), Chasio, Telor Kecap, Saos, Sambal",39.200,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Roasted Chicken Rice,"Nasi Putih, Ayam Panggang, Telur Kecap, Saos, Sambal",28.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Chasio Chicken - Hainan Rice,"Nasi Hainan, Chasio Ayam,, Telor Kecap, Saos, Sambal",30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Chasio Chicken Rice,"Nasi Putih, Chasio Ayam,, Telor Kecap, Saos, Sambal",28.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Mixed - Hainan Rice,"Nasi Hainan, Ayam Panggang (Sioke), Chasio, Telor Kecap, Saos, Sambal",39.200,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Mixed Rice,"Nasi Putih, Aya Panggang (Sioke), Chasio, Telor Kecap, Saos, Sa,Bal",36.800,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Roasted Chicken - Hainan Rice,"Nasi Hainan, Ayam Panggang, Telor Kecap, Saos, Sambal",30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Roasted Chicken 250,Ayam panggang spesial 250gr untuk 3-4 org,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Chasio Chicken 250,Ayam Chasio Spesial Untuk 3-4 orang,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Mixed Roasted - Chasio Chicken 250,Ayam panggang dan chasio spesial untuk 3-4 orang,76.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Chasio Chicken - Hainan Rice,N/A,30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Mixed - Hainan Rice,N/A,39.200,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Roasted Chicken - Hainan Rice,N/A,30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Roasted Chicken 250,N/A,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Chasio Chicken 250,N/A,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Mixed Roasted - Chasio Chicken 250,N/A,76.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Roasted Chicken Rice,"Nasi Putih, Ayam Panggang, Telur Kecap, Saos, Sambal",28.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Chasio Chicken - Hainan Rice,"Nasi Hainan, Chasio Ayam,, Telor Kecap, Saos, Sambal",30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Chasio Chicken Rice,"Nasi Putih, Chasio Ayam,, Telor Kecap, Saos, Sambal",28.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Mixed - Hainan Rice,"Nasi Hainan, Ayam Panggang (Sioke), Chasio, Telor Kecap, Saos, Sambal",39.200,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Mixed Rice,"Nasi Putih, Aya Panggang (Sioke), Chasio, Telor Kecap, Saos, Sa,Bal",36.800,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Classic Roasted Chicken - Hainan Rice,"Nasi Hainan, Ayam Panggang, Telor Kecap, Saos, Sambal",30.400,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Roasted Chicken 250,Ayam panggang spesial 250gr untuk 3-4 org,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Chasio Chicken 250,Ayam Chasio Spesial Untuk 3-4 orang,72.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,Mixed Roasted - Chasio Chicken 250,Ayam panggang dan chasio spesial untuk 3-4 orang,76.000,Tersedia,2025-07-11 07:33:28
de jazzio - Nasi hainan Chasio,BlackJazz,Black pepper chasio dg saos barbeque khad de jazxio,35.000,Tersedia,2025-07-11 07:33:28
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Buto Ijo Small,N/A,125.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Ayam Gebrak,N/A,105.800,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Soup Buntut Bakar,N/A,163.500,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Nasi Goreng Gunawangsa,N/A,96.250,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Chicken Cordon Blue,N/A,125.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Orchidtano Pizza,N/A,93.750,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Buto Ijo Large,"Nasi goreng porsi jumbo untuk 6-8 orang. Warna hijau dari sayuran dan rasa agak pedas. dengan pelengkap ayam, telur, udang, acar dan emping",225.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Buto Ijo Medium,N/A,150.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Buto Ijo Small,N/A,125.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Mie Kuah Semprul,N/A,62.500,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Ayam Gebrak,N/A,105.800,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Nasi Goreng Xo,N/A,62.500,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Nasi Goreng Gunawangsa,N/A,96.250,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Nasi Goreng Curry,N/A,50.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Mie Goreng Kluntung,N/A,56.250,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Chicken Teriyaki,N/A,62.500,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Nasi CapCay,N/A,50.000,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Ayam Penyet,"Nasi Ayam Goreng Disajikan Dengan Sambal, Lalapan, Tahu Dan Tempe",56.250,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Orchidtano Pizza,Orchidtano pizza khas gunawangsa manyar,93.750,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",French Fries,N/A,43.750,Tersedia,2025-07-11 07:34:06
"Orchidtano Pizza, Gunawangsa Manyar Hotel",Chicken Wing,N/A,43.750,Tersedia,2025-07-11 07:34:06
