Nama Restoran,Judul Promo,Cara Menggunakan,Detail Promo,Waktu Scraping
"DIMSUM MBLEDOS, Merr","Diskon makanan 35%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 65rb,2025-07-04 21:22:35
"DIMSUM MBLEDOS, Merr","Diskon makanan 35%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 78rb,2025-07-04 21:22:35
"DIMSUM MBLEDOS, Merr","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 35rb,2025-07-04 21:22:35
"DIMSUM MBLEDOS, Merr","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 42rb,2025-07-04 21:22:35
"Terang Bulan Bangka C.N.K, Karang Empat Besar","Diskon makanan 45%, maks. 157rb",Use with GoPay atau 6 lainnya,Min. pembelian 144rb,2025-07-04 21:24:16
"Terang Bulan Bangka C.N.K, Karang Empat Besar","Diskon makanan 30%, maks. 72rb",Use with GoPay atau 6 lainnya,Min. pembelian 120rb,2025-07-04 21:24:16
"Surabaya Patata, Dharmahusada","Diskon makanan 35%, maks. 88rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-04 21:24:48
"Surabaya Patata, Dharmahusada","Diskon makanan 35%, maks. 88rb",Use with GoPay atau 7 lainnya,Min. pembelian 168rb,2025-07-04 21:24:48
"Surabaya Patata, Dharmahusada","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:24:48
"Surabaya Patata, Dharmahusada","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 84rb,2025-07-04 21:24:48
"Malika Kebab 14, Tambaksari","Diskon makanan 40%, maks. 79rb",Use with GoPay atau 7 lainnya,"Tambahan diskon makanan 10rb + diskon ongkir 8rb, Min. pembelian 110rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,"Tambahan diskon makanan 10rb + diskon ongkir 8rb, Min. pembelian 100rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,"Tambahan diskon makanan 10rb + diskon ongkir 8rb, Min. pembelian 100rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,"Tambahan diskon ongkir 8rb, Min. pembelian 80rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,"Tambahan diskon ongkir 8rb, Min. pembelian 80rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,Min. pembelian 55rb,2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 7 lainnya,Min. pembelian 66rb,2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,"Tambahan diskon makanan 10rb + diskon ongkir 8rb, Min. pembelian 100rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,"Tambahan diskon makanan 10rb + diskon ongkir 8rb, Min. pembelian 100rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,"Tambahan diskon ongkir 8rb, Min. pembelian 80rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,"Tambahan diskon ongkir 8rb, Min. pembelian 80rb",2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,Min. pembelian 30rb,2025-07-04 21:26:16
"Malika Kebab 14, Tambaksari","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,Min. pembelian 36rb,2025-07-04 21:26:16
"Sour Sally, Galaxy Mall","Diskon makanan 40%, maks. 202rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-04 21:27:47
"Sour Sally, Galaxy Mall","Diskon makanan 35%, maks. 88rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-04 21:27:47
"Sour Sally, Galaxy Mall","Diskon makanan 35%, maks. 88rb",Use with GoPay atau 7 lainnya,Min. pembelian 168rb,2025-07-04 21:27:47
"Sour Sally, Galaxy Mall","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:27:47
"Sour Sally, Galaxy Mall","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 84rb,2025-07-04 21:27:47
"Kebab Turki Baba Rafi, Wiratno","Diskon makanan 40%, maks. 94rb",Use with GoPay atau 7 lainnya,Min. pembelian 130rb,2025-07-04 21:28:14
"Kebab Turki Baba Rafi, Wiratno","Diskon makanan 35%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 78rb,2025-07-04 21:28:14
"Kebab Turki Baba Rafi, Wiratno","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 42rb,2025-07-04 21:28:14
"Excelso Coffee, Galaxy Extension Timur","Diskon makanan 10%, maks. 30rb",Use with GoPay atau 6 lainnya,Khusus pesanan reguler min. pembelian 150rb,2025-07-04 21:28:39
"Excelso Coffee, Galaxy Extension Timur","Diskon makanan 10%, maks. 15rb",Use with GoPay atau 6 lainnya,Khusus pesanan reguler min. pembelian 75rb,2025-07-04 21:28:39
"Excelso Coffee, Galaxy Extension Timur","Diskon makanan 10%, maks. 8rb",Use with GoPay atau 6 lainnya,Khusus pesanan reguler min. pembelian 40rb,2025-07-04 21:28:39
