Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
de jazzio - Nasi hainan Chasio,Levy Krisna,12 Desember 2018,5.0,makanananya enak dan bisa diorder lagi. Terima kasih.,Classic Chasio Chicken - Hainan Rice,25 Mei 2025,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Surya,13 Maret 2016,5.0,"rasa masakan overall enak, aroma ayam chasio nya juga wangi .. cuma sedikit saran mungkin bakalan lebih enak lagi kalau nasi hainam nya lebih gurih & sedikit dikasih rasa asin buat seimbangin rasa dari saus manis nya, terima kasih",Classic Mixed - Hainan Rice,2 November 2024,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Yenny,20 September 2018,4.0,Rasanya lumayan enak..tp sayang ga ada kuahnya jd kurang mantap..kalau boleh saran pakai kuah kaldu gt pasti enak bgt deh..,Classic Mixed - Hainan Rice - Classic Roasted Chicken - Hainan Rice,18 Maret 2024,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,W*****,26 Februari 2017,3.0,nasinya kurang ha ha ha,Classic Mixed - Hainan Rice,4 Desember 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,alfen gustav,29 September 2015,1.0,nasi sprt basi..ga enak sama skali,Classic Mixed - Hainan Rice,7 September 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,M*****,25 April 2020,5.0,Muantap polllll,Classic Mixed - Hainan Rice,18 Agustus 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,V***,20 September 2015,5.0,"nasi Hainan enak, ayam chasiu nya juga enak, bumbu juga pas rasanya 👍 bakal repeat order lagi next time",Classic Mixed - Hainan Rice - Blackjazz Rice - Classic Mixed Rice,11 Agustus 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,G******* U***,7 Juni 2017,5.0,"Enak! Emang sih porsi dagingnya terlihat lebih sedikit daripada yang si foto, tapi tetap mengenyangkan. Rasa nasi hainannya juga pas. Mungkin timunnya bisa ditambah sedikit.",Classic Mixed - Hainan Rice,10 Mei 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Lisiana Lisiana,13 November 2018,5.0,sangat enak . bisa dijadikan langganan nih,Classic Roasted Chicken Rice - Classic Chasio Chicken - Hainan Rice,14 Maret 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,indah,11 Desember 2016,5.0,Baru pertama kali nyoba karena lagi pengen makan nasi Hainan. Rasanya enak dan porsinya pas.,Classic Mixed - Hainan Rice,4 Maret 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,rina hakso,29 Juni 2021,5.0,mantap mazehhh seep,Classic Roasted Chicken - Hainan Rice,25 Januari 2023,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,M** A**,7 September 2016,4.0,"makananan enak..pas
tp ga sesuai gambar...digambar ayamnya banyak..yo wes..mantul",Classic Roasted Chicken - Hainan Rice,29 Desember 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,gading pribadi,31 Desember 2017,5.0,"Order gara2 liat iklan, ternyata begini rasanya. Enak ternyata rasanya nasi hainan. Sehat gak berlemak dan halal. Thankyou semoga kualitasnya gak menurun ❤️",Classic Mixed - Hainan Rice,15 Desember 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Okky octaviana,4 Agustus 2015,5.0,enak banget. worth to buy. porsi kenyang dijamin. saosnya enak. chasio enak. GA NYESAL pokoknya beli ini. menambah nafsu makan bgt. ini aku makan pas lagi sakit soalnya. thank you so much. semoga usahanya lancar jaya terus yaa. Sering2 promo 🤭,Classic Chasio Chicken Rice,28 November 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Erni widodokusumo,9 September 2015,5.0,very good and so tasty,Classic Mixed - Hainan Rice - Classic Mixed Rice,16 Oktober 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,B****,5 April 2016,5.0,Mntp pak trm kasih,Classic Mixed - Hainan Rice - Classic Chasio Chicken Rice,1 September 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,Lina Sugianto,12 Februari 2016,5.0,"Satu kata.. enyaaaakkk men , TOP",Classic Mixed - Hainan Rice,9 Agustus 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,sandra,19 Desember 2017,5.0,enak.. tapi mahal,Classic Mixed Rice,3 Agustus 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,fenny gamawati,6 Februari 2018,5.0,enak  rekomend,Blackjazz Rice (NEW) - Classic Roasted Chicken - Hainan Rice,7 Juli 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,mas putra,23 Juli 2017,5.0,"mantap enak rasanya, dagingnya lembut, tauconya juga nendang",Classic Mixed - Hainan Rice,6 Juli 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,D****,18 September 2017,5.0,Enak pake banget,Classic Mixed - Hainan Rice,6 Juli 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,pravita ria kayana,15 Mei 2018,3.0,"ayamnya beberapa ada yg hijau
tolong kalo g layak jgn d jual
trima kasih",Classic Roasted Chicken Rice - Classic Chasio Chicken - Hainan Rice - Classic Mixed - Hainan Rice,31 Mei 2022,2025-07-11 07:34:04
de jazzio - Nasi hainan Chasio,J****** S,24 Maret 2022,4.0,"Nasi nya enak, tapi dagingnya sedikit kemanisan.",Classic Mixed - Hainan Rice,24 Mei 2022,2025-07-11 07:34:05
